Employee ID,Name,Email ID,Designation,Phone Number,Address,Education,Skills,YoE,Gender
E100,Meghan Bradford,meghanbr27@example.com,Data Scientist,8196001338,Ryanfort,B.Tech,"GenAI, SQL",0,Female
E101,Mark Blackwell,markblac53@example.org,Data Scientist,5594078161,Lake David,,"AI, NLP, Java",-1,Non-binary
E102,Joseph Barr,josephba68@example.com,Software Engineer,5341928327,Walkerbury,MCA,"NLP, GenAI",1,Non-binary
E103,Ashley Murphy,ashleymu50@example.org,,7242388496,Walkerbury,MCA,"Cloud, ML",3,Female
E104,Stacey Huber,staceyhu86@example.net,Data Analyst,8018451462,Mendezbury,,"Cloud, ML, Java",20,
E105,Kristy Anderson,kristyan77@example.org,Data Analyst,0154303911,Mendezbury,B.Sc,"Cloud, NLP",8,Prefer not to say
E106,John Doe,johndoe49@example.net,,7871331509,,B.Tech,"Java, Python",2,Male
E107,Ashley Murphy,ashleymu72@example.org,Data Analyst,9973763116,Port Shannonville,MBA,"Python, GenAI, NLP, Java",3,Male
E108,Mark Blackwell,,Data Analyst,6247317810,Ryanfort,B.Sc,"Cloud, AI",12,Male
E109,,meghanbr68@example.net,ML Engineer,8723430980,Port Shannonville,B.Sc,Python,5,Male
E110,Ashley Murphy,choice,,6193990916,Port Shannonville,,"NLP, SQL",20,Non-binary
E111,12345_Invalid,12345_in82@example.org,Data Scientist,8425135427,Lake David,B.Tech,ML,4,Non-binary
E112,Lisa Smith,lisasmit46@example.com,AI Intern,3487401640,Ryanfort,MCA,"ML, SQL",13,Male
E113,Kenneth Zimmerman,kennethz84@example.com,AI Intern,,Walkerbury,B.Tech,"AI, GenAI",5,Prefer not to say
ERR_ID,Mark Blackwell,markblac95@example.com,AI Intern,1607337543,Hernandezfort,B.Sc,"GenAI, Cloud",24,Non-binary
E115,Christopher Ferguson,christop78@example.net,Data Scientist,4294019655,Walkerbury,B.Tech,GenAI,1,Prefer not to say
ID_NULL,John Doe,johndoe95@example.org,Software Engineer,5951484656,Lake David,B.Tech,"AI, Python",23,Female
E117,Vanessa Palmer,vanessap48@example.net,AI Intern,9957773872,Lake James,MCA,"SQL, GenAI, Python",6,Female
E00A,Stanley Rogers,stanleyr68@example.net,,6763201632,Mendezbury,B.Sc,"SQL, AI",16,Non-binary
E119,Thomas Sutton,thomassu74@example.net,Data Analyst,2774348734,Mendezbury,B.Sc,"AI, Cloud, GenAI",4,Female
E120,Kenneth Zimmerman,capital,Software Engineer,6036690967,Ryanfort,MCA,"GenAI, Python, AI",25,Female
E121,Monica Rodriguez MD,military,,6272980699,Ryanfort,B.Sc,"Cloud, GenAI, AI, SQL",,Prefer not to say
E122,Marissa Campbell,marissac63@example.net,Data Scientist,8053100330,Ericaport,M.Tech,"Python, NLP",14,Non-binary
E123,Kristy Anderson,kristyan24@example.org,Software Engineer,0496631931,Lake David,,Java,11,Male
E124,12345_Invalid,12345_in72@example.org,ML Engineer,7262849877,Walkerbury,,"NLP, GenAI, SQL",14,Female
E125,Jane Smith,janesmit13@example.net,Software Engineer,,Hernandezfort,B.Sc,"GenAI, AI",15,Prefer not to say
E126,Meghan Bradford,,Software Engineer,5788568557,Lake David,MCA,"AI, Java, NLP",17,Female
E127,Stanley Rogers,stanleyr77@example.com,Software Engineer,3435240824,Ryanfort,B.Sc,"Cloud, NLP, AI",,Non-binary
E128,Thomas Sutton,thomassu42@example.net,Data Scientist,6719022941,Hernandezfort,B.Sc,"AI, GenAI, ML, Python",18,Prefer not to say
E129,Alex Rivera,alexrive22@example.org,,1232812067,Mendezbury,MCA,AI,14,Male
E130,Monica Rodriguez MD,monicaro94@example.org,ML Engineer,3242102499,Lake David,MBA,Python,8,Prefer not to say
E131,Alex Rivera,alexrive51@example.com,Software Engineer,almost,Ryanfort,,"Java, GenAI, SQL",8,Female
E132,Stacey Huber,staceyhu21@example.net,Software Engineer,5125674680,Mendezbury,B.Sc,"ML, Cloud, Java",,Male
E133,John Doe,contain,Software Engineer,7703482477,Lake James,B.Sc,"Cloud, Python",2,Female
E134,Lisa Smith,lisasmit29@example.net,,4677378263,Ericaport,B.Sc,"GenAI, Cloud, ML",,Non-binary
E135,Jane Smith,janesmit29@example.net,Data Analyst,5886753396,Hernandezfort,MBA,NLP,25,Prefer not to say
E136,Kenneth Zimmerman,contain,Data Analyst,1718702621,,MCA,"GenAI, NLP, Java",17,Prefer not to say
E137,Stanley Rogers,choice,AI Intern,4316117240,Ryanfort,MCA,ML,7,Prefer not to say
E138,Kristy Anderson,capital,,7923747407,Lake David,,"SQL, AI",9,Prefer not to say
E139,Thomas Sutton,,Data Scientist,9594406409,Ryanfort,B.Tech,"ML, GenAI, SQL, Python",6,Non-binary
E140,Kenneth Zimmerman,kennethz92@example.org,Software Engineer,0952145623,Ericaport,B.Tech,"ML, GenAI, SQL",,Non-binary
E141,Mark Blackwell,markblac19@example.org,AI Intern,,Port Shannonville,,"GenAI, Python, NLP",7,Prefer not to say
999,Mark Blackwell,markblac18@example.com,ML Engineer,4612004711,Hernandezfort,B.Tech,"GenAI, AI",22,Prefer not to say
E143,Kenneth Zimmerman,kennethz72@example.com,ML Engineer,4053773515,Port Shannonville,B.Sc,"ML, SQL, Java, AI",20,Male
E144,Mark Blackwell,markblac82@example.org,Data Scientist,8393352904,Ericaport,M.Tech,"Cloud, Java, NLP",11,Female
E145,Meghan Bradford,noemail,ML Engineer,1775891783,Ryanfort,,"Python, NLP, Java",12,Prefer not to say
